supplier,sku,name,current_stock,in_transit_qty,forecast_next_month,recommended_qty,months_of_cover,urgency,explanation,moq
Systeme Electric,300200544_,"K025 Выкл 1 кл с инд 10А с/у б/рамки ""ATLAS"" ШАМПАНЬ ATN513 (10)",15.0,0.0,16.9,20.0,0.89,Высокая,база спроса ≈6 шт/мес (история 21 мес.); сезонность ×1.30; рост спроса ×2.00; прогноз след. месяц ≈17 шт; остаток 15 + в пути 0,10.0
Systeme Electric,300200754_,К123 Блок:Роз+выкл 2-кл з/к з/ш о/у IP54 16А Atlas Profi 54 АНТРАЦИТ ATN544074 (6),5.0,0.0,14.5,18.0,0.34,Высокая,база спроса ≈4 шт/мес (история 27 мес.); сезонность ×2.12; рост спроса ×1.71; исключено разовых крупных заказов: 1; прогноз след. месяц ≈14 шт; остаток 5 + в пути 0,6.0
Systeme Electric,030200072_," S186  с/у. з/ш 16А  ""Wessen 59""  РС 16-151-18 (10/60) !!!",3.0,0.0,12.2,16.0,0.25,Высокая,база спроса ≈4 шт/мес (история 16 мес.); сезонность ×3.78; снижение спроса ×0.72; прогноз след. месяц ≈12 шт; остаток 3 + в пути 0,1.0
Systeme Electric,030200247_,"S360 Выкл 1 кл 10А с/у ""GLOSSA"" белый GSL112 (15)",1.0,0.0,5.5,15.0,0.18,Высокая,база спроса ≈4 шт/мес (история 21 мес.); сезонность ×1.07; рост спроса ×1.45; прогноз след. месяц ≈6 шт; остаток 1 + в пути 0,15.0
Systeme Electric,030200259_,"S367 Роз. 2-ная с/у 16А ""GLOSSA"" белый GSL120 (15)",2.0,0.0,3.9,15.0,0.51,Высокая,база спроса ≈16 шт/мес (история 17 мес.); сезонность ×0.31; снижение спроса ×0.78; прогноз след. месяц ≈4 шт; остаток 2 + в пути 0,15.0
Systeme Electric,300200725_,К097 Комп. роз. RJ45 5Е механизм б/рамки ATLAS ПЕСОЧНЫЙ ATN1283 (5),10.0,0.0,14.2,15.0,0.7,Высокая,база спроса ≈11 шт/мес (история 31 мес.); сезонность ×0.73; рост спроса ×1.77; прогноз след. месяц ≈14 шт; остаток 10 + в пути 0,5.0
Systeme Electric,030200175_,S313  Выкл. 1-кл. с инд. о/у IP44 Белый ЭТЮД ВА10-045В (112),2.0,0.0,3.5,14.0,0.57,Высокая,база спроса ≈4 шт/мес (история 4 мес.); прогноз след. месяц ≈4 шт; остаток 2 + в пути 0,14.0
Systeme Electric,030200191_,"S310  Розетка IP44 с/у, з/к, з/ш ЭТЮД РС16-044В (120)",2.0,0.0,6.0,14.0,0.33,Высокая,база спроса ≈3 шт/мес (история 8 мес.); рост спроса ×2.00; прогноз след. месяц ≈6 шт; остаток 2 + в пути 0,14.0
Systeme Electric,030200026_,"S283 о/у. 6А IP44 ""Рондо"" ВА 66-102Б-би переключатель (10/60) !!!",4.0,0.0,10.8,13.0,0.37,Высокая,база спроса ≈22 шт/мес (история 6 мес.); снижение спроса ×0.50; прогноз след. месяц ≈11 шт; остаток 4 + в пути 0,1.0
Systeme Electric,300200767_,"S3899 Диммер поворотно-нажимной с/у б/рамки 400Вт ""ATLAS"" белый ATN123 (1)",6.0,0.0,11.5,12.0,0.52,Высокая,база спроса ≈1 шт/мес (история 23 мес.); сезонность ×7.50; рост спроса ×1.53; прогноз след. месяц ≈12 шт; остаток 6 + в пути 0,1.0
Systeme Electric,030200263_,"S374 Комп. роз. RJ45 5Е механизм б/рамки ""GLOSSA"" белый GSL181K (10)",1.0,0.0,2.5,10.0,0.4,Высокая,база спроса ≈2 шт/мес (история 16 мес.); сезонность ×0.80; рост спроса ×1.27; продажи скорректированы вверх из-за дефицита на складе; прогноз след. месяц ≈2 шт; остаток 1 + в пути 0,10.0
Systeme Electric,300200727_,К099 Переключ. 1 кл с инд 10А с/у б/рамки ATLAS ПЕСОЧНЫЙ ATN1263,7.0,0.0,9.0,10.0,0.78,Высокая,база спроса ≈9 шт/мес (история 1 мес.); прогноз след. месяц ≈9 шт; остаток 7 + в пути 0,5.0
Systeme Electric,300200728_,К100 Перекрест.переключ. 1 кл 10А с/у б/рамки ATLAS ПЕСОЧНЫЙ ATN1271 (5),4.0,0.0,8.8,10.0,0.45,Высокая,база спроса ≈4 шт/мес (история 22 мес.); сезонность ×1.00; рост спроса ×2.00; прогноз след. месяц ≈9 шт; остаток 4 + в пути 0,5.0
Systeme Electric,300200878_,"G095 Выкл. 1 кл кнопочный 10А механизм ""ARTGALLERY"" карбон GAL1015 (5)",10.0,0.0,11.0,10.0,0.91,Высокая,база спроса ≈6 шт/мес (история 6 мес.); рост спроса ×2.00; прогноз след. месяц ≈11 шт; остаток 10 + в пути 0,5.0
Systeme Electric,300200948_,"G165 Рамка 4-ная ""ARTGALLERY"" базальт GAL1404 (5)",17.0,0.0,17.4,10.0,0.98,Высокая,база спроса ≈7 шт/мес (история 21 мес.); сезонность ×1.56; рост спроса ×1.57; прогноз след. месяц ≈17 шт; остаток 17 + в пути 0,5.0
Systeme Electric,300200908_,"G125 Диммер поворотно-нажимной механизм 400Вт ""ARTGALLERY"" сталь GAL0923 (1)",3.0,0.0,8.0,9.0,0.38,Высокая,база спроса ≈8 шт/мес (история 1 мес.); прогноз след. месяц ≈8 шт; остаток 3 + в пути 0,1.0
Systeme Electric,300200919_,"G136 Роз. 2-ная комп. RJ45+RJ45 6А механизм ""ARTGALLERY"" мокко GAL0688 (1)",4.0,0.0,7.0,7.0,0.57,Высокая,база спроса ≈4 шт/мес (история 7 мес.); рост спроса ×2.00; прогноз след. месяц ≈7 шт; остаток 4 + в пути 0,1.0
Systeme Electric,030200002_,"S239 1кл о/у. 6А IP20  ""Прима"" ВА 16-051-б (130) !!!",3.0,0.0,6.0,6.0,0.5,Высокая,база спроса ≈6 шт/мес (история 1 мес.); прогноз след. месяц ≈6 шт; остаток 3 + в пути 0,1.0
Systeme Electric,030200009_,"S243 о\у 10А IP20  ""Прима"" РА 10-164-б (168) !!!",2.0,0.0,5.0,6.0,0.4,Высокая,база спроса ≈5 шт/мес (история 3 мес.); прогноз след. месяц ≈5 шт; остаток 2 + в пути 0,1.0
